x,y,Local Minimum
-1.571,3.429,-14.73009685
0.209,5.209,-12.57965566
-3.993,-4.993,-10.8168086
2.774,-1.226,-15.50642821
0.189,5.189,-12.58850921
-5.294,-5.294,-10.08593946
-2.422,-5.422,-12.0706768
-1.628,4.372,-13.34592108
3.097,0.097,-15.81911973
-4.226,-0.226,-14.08968689
3.182,1.182,-15.53099353
-0.352,-5.352,-12.58873072
-5.181,-4.181,-10.81668715
4.652,4.652,-10.08601112
-2.702,5.298,-11.48708386
2.583,3.583,-12.59602143
1.321,1.321,-19.14381873
-1.583,-0.583,-17.30933847
-4.959,3.041,-11.48714291
-4.421,-5.421,-10.81687313
4.304,3.304,-10.81663873
0.519,-3.481,-14.08967962
2.764,-0.236,-15.81924344
-1.808,-4.808,-12.07025103
1.743,3.743,-13.35689407
4.145,-3.855,-11.70486111
0.084,-1.916,-17.81217463
-5.304,1.696,-12.05938277
4.275,3.275,-12.59754977
-4.493,1.507,-13.34399401
-5.212,-3.212,-11.49728504
3.507,1.507,-15.52936293
-0.809,1.191,-17.81217463
-2.303,-1.303,-17.33222752
-1.966,-3.966,-13.36307815
5.474,1.474,-12.45435806
5.246,-4.754,-10.07587065
-3.948,-0.948,-13.89875939
-0.219,-3.219,-15.80330367
-1.254,2.746,-15.5101386
1.853,-0.147,-17.81211441
5.227,1.227,-12.44927593
0.802,1.802,-17.3321431
5.345,-4.655,-10.07587065
-0.875,-4.875,-12.4547391
0.782,0.782,-19.14381651
-3.32,0.68,-15.51246689
-0.234,-2.234,-17.81136475
3.284,0.284,-15.81911973
2.752,0.752,-15.53098146
-4.799,1.201,-12.44794129
0.041,-0.959,-20.10831076
-0.51,0.49,-20.10846275
-0.327,-1.327,-20.10838076
-3.034,-2.034,-14.75549133
-5.334,-0.334,-12.58868241
-4.882,-4.882,-10.08090075
-2.494,-4.494,-13.36223368
-3.88,2.12,-13.34608533
-4.056,-2.056,-13.36261892
1.644,-3.356,-14.73037451
-0.971,-4.971,-12.4547391
1.762,-2.238,-16.12468275
-5.067,-3.067,-11.49982033
0.267,-2.733,-15.81715537
-5.098,-0.098,-12.58868241
-5.245,0.755,-12.44252456
-2.83,1.17,-15.51246689
0.499,4.499,-12.45460097
-5.171,-2.171,-12.06990062
0.313,-0.687,-20.10846275
1.915,-2.085,-16.12468275
1.022,5.022,-12.45477218
-4.852,1.148,-12.44788196
-3.67,-2.67,-12.5964736
2.133,3.133,-14.75513195
3.844,-4.156,-11.70486111
-2.462,-2.462,-16.12468275
-1.582,3.418,-14.72937102
3.895,4.895,-10.81687313
3.561,1.561,-13.36307815
5.654,2.654,-12.06456375
2.987,-3.013,-13.69451455
-1.678,2.322,-16.12468275
-2.156,1.844,-16.12468275
4.76,-2.24,-12.05934612
2.502,5.502,-12.06888898
-2.295,1.705,-16.12468275
1.996,-2.004,-16.12468275
0.715,3.715,-13.89881315
-4.81,5.19,-10.07587065
-4.551,-4.551,-10.08576268
-4.823,-4.823,-10.0833116
3.732,-4.268,-11.70486111
-3.819,-0.819,-13.89876244
-0.054,-5.054,-12.58868241
1.009,4.009,-13.89834886
-5.3,4.7,-10.07587065
-5.487,3.513,-10.80490556
2.085,-4.915,-12.05920211
